query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",Restaurant Johor Al Dammam,,Breakfast restaurant,Breakfast restaurant,restaurants,,"8321 1،, الربيع، 5577, Dammam 32241",Ar Rabi,"8321 1،, الربيع، 5577",Dammam,32241,,,Saudi Arabia,SA,26.4402998,50.1176968,Asia/Riyadh,,False,4.0,3.0,"https://search.google.com/local/reviews?placeid=ChIJwwFvMjv7ST4RbJIKKAzDYlg&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 1, ""5"": 1}",0.0,0.0,1.0,1.0,1.0,3.0,https://lh5.googleusercontent.com/p/AF1QipMytjl2-DMXl2OLp5qcuvG3O2ZSAmPE7rsXZWc9=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMytjl2-DMXl2OLp5qcuvG3O2ZSAmPE7rsXZWc9=w1600-h1000-k-no,,,,,,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Catering"": true}, ""Amenities"": {""Good for kids"": true}, ""Atmosphere"": {""Casual"": true}}",,,,,False,None,Restaurant Johor Al Dammam,,,,,,"https://www.google.com/maps/place/Restaurant+Johor+Al+Dammam/@26.4402998,50.1176968,14z/data=!4m8!1m2!2m1!1sRestaurant+Johor+Al+Dammam!3m4!1s0x3e49fb3b326f01c3:0x5862c30c280a926c!8m2!3d26.4402998!4d50.1176968",ChIJwwFvMjv7ST4RbJIKKAzDYlg,0x3e49fb3b326f01c3:0x5862c30c280a926c,6368867280034108012,6368867280034108012,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",POSITIVE BREAKFAST | LUNCH | DINNER,https://instagram.com/eatpositive.sa,Breakfast restaurant,Breakfast restaurant,restaurants,+966 57 174 0114,"Khaleej Rd, Al Aziziyah, Dammam 32424",Al Aziziyah,Khaleej Rd,Dammam,32424,,,Saudi Arabia,SA,26.4631761,50.0628114,Asia/Riyadh,,False,4.3,732.0,"https://search.google.com/local/reviews?placeid=ChIJjSRrjD7_ST4RdXUL_u-74lc&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 37, ""2"": 32, ""3"": 67, ""4"": 140, ""5"": 456}",37.0,32.0,67.0,140.0,456.0,1181.0,https://lh5.googleusercontent.com/p/AF1QipPjkKFGP5845xisvVYJ4VsbaL6vdpwTB7LVxPQj=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPjkKFGP5845xisvVYJ4VsbaL6vdpwTB7LVxPQj=w1600-h1000-k-no,,"{""Monday"": ""7 AM-11 PM"", ""Tuesday"": ""7 AM-11 PM"", ""Wednesday"": ""7 AM-11 PM"", ""Thursday"": ""7 AM-11 PM"", ""Friday"": ""7 AM-11 PM"", ""Saturday"": ""7 AM-11 PM"", ""Sunday"": ""7 AM-11 PM""}",Monday: 7 AM-11 PM | Tuesday: 7 AM-11 PM | Wednesday: 7 AM-11 PM | Thursday: 7 AM-11 PM | Friday: 7 AM-11 PM | Saturday: 7 AM-11 PM | Sunday: 7 AM-11 PM,,,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Coffee"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Good for kids"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}}",,,https://lh3.googleusercontent.com/-AMOJzcGhBNo/AAAAAAAAAAI/AAAAAAAAAAA/ddsG7PdcQZk/s44-p-k-no-ns-nd/photo.jpg,,True,105187706479649183392,POSITIVE BREAKFAST | LUNCH | DINNER,https://www.google.com/maps/contrib/105187706479649183392,,,,,"https://www.google.com/maps/place/POSITIVE+BREAKFAST+%7C+LUNCH+%7C+DINNER/@26.4631761,50.0628114,14z/data=!4m8!1m2!2m1!1sPOSITIVE+BREAKFAST+%7C+LUNCH+%7C+DINNER!3m4!1s0x3e49ff3e8c6b248d:0x57e2bbeffe0b7575!8m2!3d26.4631761!4d50.0628114",ChIJjSRrjD7_ST4RdXUL_u-74lc,0x3e49ff3e8c6b248d:0x57e2bbeffe0b7575,6332830665470080373,6332830665470080373,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",New Shalimar Breakfast & Snacks,,Restaurant,Restaurant,restaurants,+966 54 526 5520,"2168 الامير سعود بن جلوي، 7218, Al Dawasir, Dammam 32416",Al Dawasir,2168 الامير سعود بن جلوي,Dammam,32416,,,Saudi Arabia,SA,26.4437112,50.0981545,Asia/Riyadh,,False,3.9,85.0,"https://search.google.com/local/reviews?placeid=ChIJEUHNdXf8ST4RGP-7EhqYVig&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 6, ""2"": 3, ""3"": 17, ""4"": 24, ""5"": 35}",6.0,3.0,17.0,24.0,35.0,63.0,https://lh5.googleusercontent.com/p/AF1QipMInglSQzW87ucGuulniA32lsTjN3PjcGfaeT7R=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMInglSQzW87ucGuulniA32lsTjN3PjcGfaeT7R=w1600-h1000-k-no,,"{""Monday"": ""4:15 AM-12 AM"", ""Tuesday"": ""4:15 AM-12 AM"", ""Wednesday"": ""4:15 AM-12 AM"", ""Thursday"": ""4:15 AM-12 AM"", ""Friday"": ""4:15 AM-12 AM"", ""Saturday"": ""4:15 AM-12 AM"", ""Sunday"": ""4:15 AM-12 AM""}",Monday: 4:15 AM-12 AM | Tuesday: 4:15 AM-12 AM | Wednesday: 4:15 AM-12 AM | Thursday: 4:15 AM-12 AM | Friday: 4:15 AM-12 AM | Saturday: 4:15 AM-12 AM | Sunday: 4:15 AM-12 AM,,,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": false, ""Wheelchair-accessible seating"": false}, ""Offerings"": {""Small plates"": true}, ""Dining options"": {""Breakfast"": true}, ""Atmosphere"": {""Casual"": true}}",$,,https://lh6.googleusercontent.com/-eXNA35u2teA/AAAAAAAAAAI/AAAAAAAAAAA/yCB2XH81YxQ/s44-p-k-no-ns-nd/photo.jpg,,True,110148280899526726164,New Shalimar Breakfast & Snacks,https://www.google.com/maps/contrib/110148280899526726164,,,,,"https://www.google.com/maps/place/New+Shalimar+Breakfast+%26+Snacks/@26.4437112,50.0981545,14z/data=!4m8!1m2!2m1!1sNew+Shalimar+Breakfast+%26+Snacks!3m4!1s0x3e49fc7775cd4111:0x2856981a12bbff18!8m2!3d26.4437112!4d50.0981545",ChIJEUHNdXf8ST4RGP-7EhqYVig,0x3e49fc7775cd4111:0x2856981a12bbff18,2906677847265115928,2906677847265115928,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",Hash Two,https://instagram.com/hashtwo.sa?r=nametag,Breakfast restaurant,Breakfast restaurant,restaurants,+966 50 778 1255,"القرص, Al Nuzha, Dammam 32252",Al Nuzha,القرص,Dammam,32252,,,Saudi Arabia,SA,26.4024981,50.1054746,Asia/Riyadh,,False,4.2,135.0,"https://search.google.com/local/reviews?placeid=ChIJm_FtG2b7ST4RAo0du7VknBs&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 8, ""2"": 8, ""3"": 19, ""4"": 18, ""5"": 82}",8.0,8.0,19.0,18.0,82.0,232.0,https://lh5.googleusercontent.com/p/AF1QipPhxh1ZjMeTOnyY7orNPlLWfHmxJHdRZ4w-9cxS=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPhxh1ZjMeTOnyY7orNPlLWfHmxJHdRZ4w-9cxS=w1600-h1000-k-no,,"{""Monday"": ""6 AM-3 PM"", ""Tuesday"": ""6 AM-3 PM"", ""Wednesday"": ""6 AM-3 PM"", ""Thursday"": ""6 AM-3 PM"", ""Friday"": ""6 AM-3 PM"", ""Saturday"": ""6 AM-3 PM"", ""Sunday"": ""6 AM-3 PM""}",Monday: 6 AM-3 PM | Tuesday: 6 AM-3 PM | Wednesday: 6 AM-3 PM | Thursday: 6 AM-3 PM | Friday: 6 AM-3 PM | Saturday: 6 AM-3 PM | Sunday: 6 AM-3 PM,,,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Coffee"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Catering"": true, ""Dessert"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true}}",,,https://lh5.googleusercontent.com/-khnT3IViTHs/AAAAAAAAAAI/AAAAAAAAAAA/zA1RCW3DVIU/s44-p-k-no-ns-nd/photo.jpg,,True,104104859955216482174,Hash Two,https://www.google.com/maps/contrib/104104859955216482174,,https://hungerstation.com/ar/dammam/an-nuzhah/67489/hash-two?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,,https://hungerstation.com/ar/dammam/an-nuzhah/67489/hash-two?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,"https://www.google.com/maps/place/Hash+Two/@26.4024981,50.1054746,14z/data=!4m8!1m2!2m1!1sHash+Two!3m4!1s0x3e49fb661b6df19b:0x1b9c64b5bb1d8d02!8m2!3d26.4024981!4d50.1054746",ChIJm_FtG2b7ST4RAo0du7VknBs,0x3e49fb661b6df19b:0x1b9c64b5bb1d8d02,1989575867082050818,1989575867082050818,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",Fluffy - فلفي,https://hungerstation.com/sa-en/restaurant/fluffy-and-yummy/dammam/al-jalawiyyah/22604?utm_campaign=google_reserve_place_order_action,Restaurant,Restaurant,restaurants,,"28th Street, Al Jalawiyah, Dammam 32246",Al Jalawiyah,28th Street,Dammam,32246,,,Saudi Arabia,SA,26.4366238,50.083668499999995,Asia/Riyadh,,False,4.3,189.0,"https://search.google.com/local/reviews?placeid=ChIJ1d6plOP9ST4R5vFBD6izLrs&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 19, ""2"": 5, ""3"": 14, ""4"": 12, ""5"": 139}",19.0,5.0,14.0,12.0,139.0,219.0,https://lh5.googleusercontent.com/p/AF1QipOXmWT7XbGr4I9e0GpXMat6vbJNlLcS4z0bUoTx=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOXmWT7XbGr4I9e0GpXMat6vbJNlLcS4z0bUoTx=w1600-h1000-k-no,,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""7-11 PM""}",Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: 7-11 PM,,,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Coffee"": true, ""Halal food"": true, ""Happy-hour food"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Small plates"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Good for kids"": true, ""High chairs"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,https://lh3.googleusercontent.com/-ZjjaNtedfN0/AAAAAAAAAAI/AAAAAAAAAAA/t-AQSttbM64/s44-p-k-no-ns-nd/photo.jpg,,True,116440041242790839538,Fluffy - فلفي,https://www.google.com/maps/contrib/116440041242790839538,,https://hungerstation.com/ar/dammam/al-jalawiyyah/22604/fluffy-and-yummy?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,,https://hungerstation.com/ar/dammam/al-jalawiyyah/22604/fluffy-and-yummy?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,"https://www.google.com/maps/place/Fluffy+-+%D9%81%D9%84%D9%81%D9%8A/@26.4366238,50.083668499999995,14z/data=!4m8!1m2!2m1!1sFluffy+-+%D9%81%D9%84%D9%81%D9%8A!3m4!1s0x3e49fde394a9ded5:0xbb2eb3a80f41f1e6!8m2!3d26.4366238!4d50.083668499999995",ChIJ1d6plOP9ST4R5vFBD6izLrs,0x3e49fde394a9ded5:0xbb2eb3a80f41f1e6,13487915468413071846,-4958828605296479770,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",Moma’s Urban Eatery,https://instagram.com/momas.sa?igshid=fxjeqh0hp6jo,Breakfast restaurant,Breakfast restaurant,restaurants,+966 53 788 7885,"البدائع, Al-Hamra'a, 5A , hilal bin, Dammam",Al-Hamra'a,"البدائع، 5A , hilal bin",Dammam,None,,,Saudi Arabia,SA,26.453033299999998,50.1168018,Asia/Riyadh,,False,4.7,1216.0,"https://search.google.com/local/reviews?placeid=ChIJCbQNVw_7ST4REhOh-rsuVmY&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 21, ""2"": 17, ""3"": 45, ""4"": 129, ""5"": 1004}",21.0,17.0,45.0,129.0,1004.0,1788.0,https://lh5.googleusercontent.com/p/AF1QipMdwqAqBhCff1WXk-8s2MQrIB4x6mqPTwxeP2Ay=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMdwqAqBhCff1WXk-8s2MQrIB4x6mqPTwxeP2Ay=w1600-h1000-k-no,,"{""Monday"": ""Closed"", ""Tuesday"": ""7 AM-3 PM"", ""Wednesday"": ""7 AM-3 PM"", ""Thursday"": ""7 AM-3 PM"", ""Friday"": ""7 AM-3 PM"", ""Saturday"": ""7 AM-3 PM"", ""Sunday"": ""7 AM-3 PM""}",Monday: Closed | Tuesday: 7 AM-3 PM | Wednesday: 7 AM-3 PM | Thursday: 7 AM-3 PM | Friday: 7 AM-3 PM | Saturday: 7 AM-3 PM | Sunday: 7 AM-3 PM,,,OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Coffee"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Good for kids"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true}}",,,https://lh5.googleusercontent.com/-cMO_0QChHC4/AAAAAAAAAAI/AAAAAAAAAAA/nhOwgVlujEY/s44-p-k-no-ns-nd/photo.jpg,,True,109699028719289911682,Moma’s Urban Eatery,https://www.google.com/maps/contrib/109699028719289911682,,,,,"https://www.google.com/maps/place/Moma%E2%80%99s+Urban+Eatery/@26.453033299999998,50.1168018,14z/data=!4m8!1m2!2m1!1sMoma%E2%80%99s+Urban+Eatery!3m4!1s0x3e49fb0f570db409:0x66562ebbfaa11312!8m2!3d26.453033299999998!4d50.1168018",ChIJCbQNVw_7ST4REhOh-rsuVmY,0x3e49fb0f570db409:0x66562ebbfaa11312,7374132824764388114,7374132824764388114,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",Burger mashwi,,Breakfast restaurant,Breakfast restaurant,restaurants,+966 58 085 5824,"Abu Hurairah St, Al-Hamra'a, Dammam 32210",Al-Hamra'a,Abu Hurairah St,Dammam,32210,,,Saudi Arabia,SA,26.4701208,50.092508099999996,Asia/Riyadh,,False,4.0,1.0,"https://search.google.com/local/reviews?placeid=ChIJKed5ePH9ST4RjtC-_L_-s3U&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 0}",0.0,0.0,0.0,1.0,0.0,7.0,https://lh5.googleusercontent.com/p/AF1QipMuCjHUIWwshyoljltevulljRTliVAq7gYOVbqy=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMuCjHUIWwshyoljltevulljRTliVAq7gYOVbqy=w1600-h1000-k-no,,"{""Monday"": ""12 PM-4 AM"", ""Tuesday"": ""12 PM-4 AM"", ""Wednesday"": ""12 PM-4 AM"", ""Thursday"": ""12 PM-4 AM"", ""Friday"": ""4 PM-4 AM"", ""Saturday"": ""12 PM-4 AM"", ""Sunday"": ""12 PM-4 AM""}",Monday: 12 PM-4 AM | Tuesday: 12 PM-4 AM | Wednesday: 12 PM-4 AM | Thursday: 12 PM-4 AM | Friday: 4 PM-4 AM | Saturday: 12 PM-4 AM | Sunday: 12 PM-4 AM,,,OPERATIONAL,"{""Service options"": {""Kerbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Dining options"": {""Breakfast"": true}, ""Amenities"": {""Good for kids"": true}}",,,https://lh6.googleusercontent.com/-VWt_zWyAj6M/AAAAAAAAAAI/AAAAAAAAAAA/2BCIaU_AXbk/s44-p-k-no-ns-nd/photo.jpg,,True,109287169630811079961,Burger mashwi,https://www.google.com/maps/contrib/109287169630811079961,,,,,"https://www.google.com/maps/place/Burger+mashwi/@26.4701208,50.092508099999996,14z/data=!4m8!1m2!2m1!1sBurger+mashwi!3m4!1s0x3e49fdf17879e729:0x75b3febffcbed08e!8m2!3d26.4701208!4d50.092508099999996",ChIJKed5ePH9ST4RjtC-_L_-s3U,0x3e49fdf17879e729:0x75b3febffcbed08e,8481402623801348238,8481402623801348238,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia","Thalassery Restaurant, Dammam",,Restaurant,Restaurant,restaurants,+966 56 426 3933,"C4Q2+Q2Q, Al Souq, Dammam 32242",Al Souq,C4Q2+Q2Q,Dammam,32242,,,Saudi Arabia,SA,26.4394748,50.1001185,Asia/Riyadh,,False,3.7,159.0,"https://search.google.com/local/reviews?placeid=ChIJ_dEtkXj8ST4RciHU3y6BEVk&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 12, ""2"": 11, ""3"": 41, ""4"": 39, ""5"": 56}",12.0,11.0,41.0,39.0,56.0,25.0,https://lh5.googleusercontent.com/p/AF1QipOK10vI-qgKuZxto_j4mcAARLgAV9ek9ZvbjBHb=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOK10vI-qgKuZxto_j4mcAARLgAV9ek9ZvbjBHb=w1600-h1000-k-no,,"{""Monday"": ""5:30 AM-12 AM"", ""Tuesday"": ""5:30 AM-12 AM"", ""Wednesday"": ""5:30 AM-12 AM"", ""Thursday"": ""5:30 AM-12 AM"", ""Friday"": ""5:30 AM-12 AM"", ""Saturday"": ""5:30 AM-12 AM"", ""Sunday"": ""5:30 AM-12 AM""}",Monday: 5:30 AM-12 AM | Tuesday: 5:30 AM-12 AM | Wednesday: 5:30 AM-12 AM | Thursday: 5:30 AM-12 AM | Friday: 5:30 AM-12 AM | Saturday: 5:30 AM-12 AM | Sunday: 5:30 AM-12 AM,,,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": false}, ""Offerings"": {""All you can eat"": true, ""Coffee"": true, ""Late-night food"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}}",$,,,,False,None,"Thalassery Restaurant, Dammam",,,,,,"https://www.google.com/maps/place/Thalassery+Restaurant%2C+Dammam/@26.4394748,50.1001185,14z/data=!4m8!1m2!2m1!1sThalassery+Restaurant%2C+Dammam!3m4!1s0x3e49fc78912dd1fd:0x5911812edfd42172!8m2!3d26.4394748!4d50.1001185",ChIJ_dEtkXj8ST4RciHU3y6BEVk,0x3e49fc78912dd1fd:0x5911812edfd42172,6418052982303367538,6418052982303367538,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",New Bangladesh Restaurant,,Breakfast restaurant,Breakfast restaurant,restaurants,,"حي المنار, 2215 الامام محمد بن سعود, EDSB2215, 8754, Dammam 32275",حي المنار,"2215 الامام محمد بن سعود, EDSB2215, 8754",Dammam,32275,,,Saudi Arabia,SA,26.3644368,50.030195799999994,Asia/Riyadh,,False,,,,,,,,,,,,,,,,,,,OPERATIONAL,"{""Service options"": {""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Offerings"": {""Small plates"": true}, ""Dining options"": {""Breakfast"": true}, ""Amenities"": {""Good for kids"": true}, ""Atmosphere"": {""Casual"": true}}",,,,,False,None,New Bangladesh Restaurant,,,,,,"https://www.google.com/maps/place/New+Bangladesh+Restaurant/@26.3644368,50.030195799999994,14z/data=!4m8!1m2!2m1!1sNew+Bangladesh+Restaurant!3m4!1s0x3e49e3e1c2d43329:0x9a082bb538a8fbac!8m2!3d26.3644368!4d50.030195799999994",ChIJKTPUwuHjST4RrPuoOLUrCJo,0x3e49e3e1c2d43329:0x9a082bb538a8fbac,11099169338994260908,None,
"breakfast restaurant, Dammam, Eastern Province, Saudi Arabia",View Restaurant Cafe,https://viewconcept.business.site/?utm_source=gmb,Restaurant,"Restaurant, Cafe, Coffee shop",restaurants,+966 56 901 4117,"Al Ashriah Street, Al Mazruiyah, Dammam 32414",Al Mazruiyah,Al Ashriah Street,Dammam,32414,,,Saudi Arabia,SA,26.4518317,50.1263964,Asia/Riyadh,,False,3.8,837.0,"https://search.google.com/local/reviews?placeid=ChIJpRrrdG_7ST4RSkGRf_RFKQc&q=breakfast+restaurant,+Dammam,+Eastern+Province,+Saudi+Arabia&authuser=0&hl=en&gl=SA",,"{""1"": 89, ""2"": 55, ""3"": 134, ""4"": 190, ""5"": 369}",89.0,55.0,134.0,190.0,369.0,1176.0,https://lh5.googleusercontent.com/p/AF1QipOOfDoJYm-Yejr74_2pzFlOUL5bmBtp5cYtjrDp=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOOfDoJYm-Yejr74_2pzFlOUL5bmBtp5cYtjrDp=w1600-h1000-k-no,,"{""Monday"": ""12 PM-12 AM"", ""Tuesday"": ""12 PM-12 AM"", ""Wednesday"": ""12 PM-12 AM"", ""Thursday"": ""12 PM-1 AM"", ""Friday"": ""12 PM-1 AM"", ""Saturday"": ""12 PM-1 AM"", ""Sunday"": ""12 PM-12 AM""}",Monday: 12 PM-12 AM | Tuesday: 12 PM-12 AM | Wednesday: 12 PM-12 AM | Thursday: 12 PM-1 AM | Friday: 12 PM-1 AM | Saturday: 12 PM-1 AM | Sunday: 12 PM-12 AM,,,OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeaway"": true, ""Dine-in"": true}, ""Highlights"": {""Fireplace"": true, ""Live music"": true, ""Rooftop seating"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible lift"": true, ""Wheelchair-accessible seating"": true}, ""Offerings"": {""Coffee"": true, ""Halal food"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Good for kids"": true, ""Toilets"": true}, ""Atmosphere"": {""Casual"": true, ""Cosy"": true}, ""Crowd"": {""Family friendly"": true, ""Groups"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Cash only"": true, ""NFC mobile payments"": true, ""Credit cards"": true}, ""Other"": {""Identifies as women-owned"": true}}",,,https://lh3.googleusercontent.com/-2BhM7JrkNfg/AAAAAAAAAAI/AAAAAAAAAAA/tcru1Z418qU/s44-p-k-no-ns-nd/photo.jpg,,True,109081876191257501314,View Restaurant Cafe,https://www.google.com/maps/contrib/109081876191257501314,,https://www.viewconcept.net/dammam,,https://www.viewconcept.net/dammam,"https://www.google.com/maps/place/View+Restaurant+Cafe/@26.4518317,50.1263964,14z/data=!4m8!1m2!2m1!1sView+Restaurant+Cafe!3m4!1s0x3e49fb6f74eb1aa5:0x72945f47f91414a!8m2!3d26.4518317!4d50.1263964",ChIJpRrrdG_7ST4RSkGRf_RFKQc,0x3e49fb6f74eb1aa5:0x72945f47f91414a,516020548725195082,516020548725195082,
